date,total_streams,sad_streams,total_songs,sad_songs_count,share_sad_streams,share_sad_songs,prcp,tsun
2020-01-01,582834.0,198069.0,62.0,19.0,0.3398377582639311,0.3064516129032258,0.1,438
2020-01-02,649383.0,243184.0,53.0,17.0,0.374484703172088,0.320754716981132,0.0,0
2020-01-03,721543.0,263128.0,57.0,19.0,0.3646740388306726,0.3333333333333333,0.5,0
2020-01-04,733268.0,264652.0,59.0,19.0,0.3609212457109815,0.3220338983050847,0.2,0
2020-01-05,644620.0,243828.0,57.0,20.0,0.3782507523812479,0.3508771929824561,1.1,0
2020-01-06,599241.0,231724.0,47.0,16.0,0.3866958369003456,0.3404255319148936,0.0,0
2020-01-07,633185.0,238934.0,50.0,16.0,0.3773525904751376,0.32,0.0,168
2020-01-08,695408.0,260801.0,51.0,16.0,0.3750330741090122,0.3137254901960784,10.6,0
2020-01-09,690779.0,252298.0,54.0,16.0,0.3652369281637108,0.2962962962962963,8.6,0
2020-01-10,691194.0,273489.0,47.0,16.0,0.3956761777445984,0.3404255319148936,2.1,168
2020-01-11,785220.0,300717.0,55.0,18.0,0.3829716512569726,0.3272727272727272,0.0,210
2020-01-12,695939.0,269685.0,56.0,19.0,0.3875124112889204,0.3392857142857143,0.1,0
2020-01-13,647559.0,256763.0,49.0,16.0,0.3965090439635616,0.3265306122448979,0.0,0
2020-01-14,670394.0,262175.0,50.0,16.0,0.3910759941168925,0.32,0.0,6
2020-01-15,751422.0,285325.0,53.0,16.0,0.3797133967331273,0.3018867924528302,0.1,414
2020-01-16,698315.0,273311.0,51.0,16.0,0.3913864087124005,0.3137254901960784,0.0,444
2020-01-17,652423.0,276748.0,38.0,14.0,0.424184922971753,0.3684210526315789,0.0,144
2020-01-18,719848.0,281957.0,42.0,13.0,0.3916896344783899,0.3095238095238095,0.3,150
2020-01-19,633493.0,255224.0,45.0,15.0,0.4028836940581822,0.3333333333333333,0.0,36
2020-01-20,589544.0,253243.0,39.0,14.0,0.4295574206505367,0.358974358974359,0.0,366
2020-01-21,598545.0,251380.0,39.0,13.0,0.419985130608392,0.3333333333333333,0.0,498
2020-01-22,672473.0,284540.0,45.0,16.0,0.4231247946014189,0.3555555555555555,0.0,0
2020-01-23,661205.0,270903.0,45.0,14.0,0.4097110578413654,0.3111111111111111,0.0,114
2020-01-24,680955.0,281887.0,44.0,14.0,0.4139583379224765,0.3181818181818182,0.0,0
2020-01-25,744292.0,307990.0,47.0,16.0,0.4138026473480838,0.3404255319148936,0.0,0
2020-01-26,655680.0,270140.0,48.0,16.0,0.4119997559785261,0.3333333333333333,0.0,0
2020-01-27,641385.0,278698.0,45.0,16.0,0.4345252851251588,0.3555555555555555,9.9,0
2020-01-28,648994.0,281646.0,45.0,16.0,0.4339731954378623,0.3555555555555555,2.9,18
2020-01-29,700795.0,296335.0,44.0,15.0,0.4228554712861821,0.3409090909090909,0.1,24
2020-01-30,647232.0,273591.0,42.0,14.0,0.4227093221595965,0.3333333333333333,0.3,84
